item,price,location,unit,quantity,date,currency,external_id
Eggs,19.75,benghazi,piece,30,2025-01-15,LYD,wfp-hdx:92:2325:2025-01-15
Eggs,19,benghazi,piece,30,2025-02-15,LYD,wfp-hdx:92:2325:2025-02-15
Eggs,14.5,benghazi,piece,30,2025-03-15,LYD,wfp-hdx:92:2325:2025-03-15
Eggs,13.5,benghazi,piece,30,2025-04-15,LYD,wfp-hdx:92:2325:2025-04-15
Eggs,14.25,benghazi,piece,30,2025-05-15,LYD,wfp-hdx:92:2325:2025-05-15
Eggs,15.5,benghazi,piece,30,2025-06-15,LYD,wfp-hdx:92:2325:2025-06-15
Eggs,21,benghazi,piece,30,2025-10-15,LYD,wfp-hdx:92:2325:2025-10-15
Eggs,21,benghazi,piece,30,2025-11-15,LYD,wfp-hdx:92:2325:2025-11-15
Eggs,21.38,benghazi,piece,30,2025-12-15,LYD,wfp-hdx:92:2325:2025-12-15
Eggs,24.25,benghazi,piece,30,2026-01-15,LYD,wfp-hdx:92:2325:2026-01-15
Eggs,28.25,benghazi,piece,30,2026-02-15,LYD,wfp-hdx:92:2325:2026-02-15
Eggs,25,benghazi,piece,30,2026-03-15,LYD,wfp-hdx:92:2325:2026-03-15
Eggs,19.38,benghazi,piece,30,2026-04-15,LYD,wfp-hdx:92:2325:2026-04-15
Eggs,20.5,benghazi,piece,30,2026-05-15,LYD,wfp-hdx:92:2325:2026-05-15
Eggs,16.75,derna,piece,30,2024-04-15,LYD,wfp-hdx:92:2328:2024-04-15
Eggs,17.25,derna,piece,30,2024-05-15,LYD,wfp-hdx:92:2328:2024-05-15
Eggs,18,derna,piece,30,2024-06-15,LYD,wfp-hdx:92:2328:2024-06-15
Eggs,17,derna,piece,30,2024-07-15,LYD,wfp-hdx:92:2328:2024-07-15
Eggs,18,derna,piece,30,2024-08-15,LYD,wfp-hdx:92:2328:2024-08-15
Eggs,20,derna,piece,30,2024-09-15,LYD,wfp-hdx:92:2328:2024-09-15
Eggs,16.63,derna,piece,30,2024-10-15,LYD,wfp-hdx:92:2328:2024-10-15
Eggs,18,derna,piece,30,2024-11-15,LYD,wfp-hdx:92:2328:2024-11-15
Eggs,20,derna,piece,30,2024-12-15,LYD,wfp-hdx:92:2328:2024-12-15
Eggs,19.5,derna,piece,30,2025-01-15,LYD,wfp-hdx:92:2328:2025-01-15
Eggs,19.25,derna,piece,30,2025-02-15,LYD,wfp-hdx:92:2328:2025-02-15
Eggs,15.25,derna,piece,30,2025-03-15,LYD,wfp-hdx:92:2328:2025-03-15
Eggs,13.13,derna,piece,30,2025-04-15,LYD,wfp-hdx:92:2328:2025-04-15
Eggs,12.13,derna,piece,30,2025-05-15,LYD,wfp-hdx:92:2328:2025-05-15
Eggs,15,derna,piece,30,2025-06-15,LYD,wfp-hdx:92:2328:2025-06-15
Eggs,19.25,derna,piece,30,2025-10-15,LYD,wfp-hdx:92:2328:2025-10-15
Eggs,21.25,derna,piece,30,2025-11-15,LYD,wfp-hdx:92:2328:2025-11-15
Eggs,20.5,derna,piece,30,2025-12-15,LYD,wfp-hdx:92:2328:2025-12-15
Eggs,21.75,derna,piece,30,2026-01-15,LYD,wfp-hdx:92:2328:2026-01-15
Eggs,25.75,derna,piece,30,2026-02-15,LYD,wfp-hdx:92:2328:2026-02-15
Eggs,24.25,derna,piece,30,2026-03-15,LYD,wfp-hdx:92:2328:2026-03-15
Eggs,22.5,derna,piece,30,2026-04-15,LYD,wfp-hdx:92:2328:2026-04-15
Eggs,22,derna,piece,30,2026-05-15,LYD,wfp-hdx:92:2328:2026-05-15
Eggs,18,ghat,piece,30,2024-04-15,LYD,wfp-hdx:92:2342:2024-04-15
Eggs,16.75,ghat,piece,30,2024-05-15,LYD,wfp-hdx:92:2342:2024-05-15
Eggs,20.13,ghat,piece,30,2024-07-15,LYD,wfp-hdx:92:2342:2024-07-15
Eggs,17.75,ghat,piece,30,2024-09-15,LYD,wfp-hdx:92:2342:2024-09-15
